X	sample	day	patient	group	celltype	include	dir	fqMate1	fqMate2	bamFile	unmapped.reads	mapped.reads	unique.reads	paired.reads	timeTaken	cells	spikeinDilution	spikeinVolume
1	HC25_d14_ASC	14	25	ASC	ASC	TRUE	~/data/HC25_d14_ASC/	HC25_d14_ASC-trimmed-pair1.fastq	HC25_d14_ASC-trimmed-pair2.fastq	HC25_d14_ASC.sort.dupMark.bam	8345756	29638602	24403067	24403067	3.277956972	1000	200000	3
2	HC25_d14_Naive	14	25	Naive	Naive	TRUE	~/data/HC25_d14_Naive/	HC25_d14_Naive-trimmed-pair1.fastq.gz	HC25_d14_Naive-trimmed-pair2.fastq.gz	HC25_d14_Naive.sort.dupMark.bam	3906374	34277516	28979749	28979749	3.038464134	1000	200000	3
3	HC25_d14_TbetLow_TetNeg_MBC	14	25	TbetLow_TetNeg	TbetLow_TetNeg_MBC	TRUE	~/data/HC25_d14_TbetLow_TetNeg_MBC/	HC25_d14_TbetLow_TetNeg_MBC-trimmed-pair1.fastq.gz	HC25_d14_TbetLow_TetNeg_MBC-trimmed-pair2.fastq.gz	HC25_d14_TbetLow_TetNeg_MBC.sort.dupMark.bam	4071565	33652759	27892016	27892016	2.886102702	1000	200000	3
4	HC25_d14_TbetLow_TetPos_MBC	14	25	TbetLow_TetPos	TbetLow_TetPos_MBC	TRUE	~/data/HC25_d14_TbetLow_TetPos_MBC/	HC25_d14_TbetLow_TetPos_MBC-trimmed-pair1.fastq.gz	HC25_d14_TbetLow_TetPos_MBC-trimmed-pair2.fastq.gz	HC25_d14_TbetLow_TetPos_MBC.sort.dupMark.bam	6311567	27196525	23622701	23622701	3.071406951	1000	200000	3
5	HC25_d14_TbetPos_TetNeg_MBC	14	25	TbetPos_TetNeg	TbetPos_TetNeg_MBC	TRUE	~/data/HC25_d14_TbetPos_TetNeg_MBC/	HC25_d14_TbetPos_TetNeg_MBC-trimmed-pair1.fastq.gz	HC25_d14_TbetPos_TetNeg_MBC-trimmed-pair2.fastq.gz	HC25_d14_TbetPos_TetNeg_MBC.sort.dupMark.bam	7851281	28595811	24324428	24324428	3.323535484	1000	200000	3
6	HC25_d14_TbetPos_TetPos_MBC	14	25	TbetPos_TetPos	TbetPos_TetPos_MBC	TRUE	~/data/HC25_d14_TbetPos_TetPos_MBC/	HC25_d14_TbetPos_TetPos_MBC-trimmed-pair1.fastq.gz	HC25_d14_TbetPos_TetPos_MBC-trimmed-pair2.fastq.gz	HC25_d14_TbetPos_TetPos_MBC.sort.dupMark.bam	8033421	29066779	25558827	25558827	3.468895272	1000	200000	3
7	HC31_d21_ASC	21	31	ASC	ASC	TRUE	~/data/HC31_d21_ASC/	HC31_d21_ASC-trimmed-pair1.fastq.gz	HC31_d21_ASC-trimmed-pair2.fastq.gz	HC31_d21_ASC.sort.dupMark.bam	5371178	28035018	22831847	22831847	2.879431511	1000	200000	3
8	HC31_d21_Naive	21	31	Naive	Naive	TRUE	~/data/HC31_d21_Naive/	HC31_d21_Naive-trimmed-pair1.fastq.gz	HC31_d21_Naive-trimmed-pair2.fastq.gz	HC31_d21_Naive.sort.dupMark.bam	4145339	33063555	28327897	28327897	3.110298237	1000	200000	3
9	HC31_d21_TbetLow_TetNeg_MBC	21	31	TbetLow_TetNeg	TbetLow_TetNeg_MBC	TRUE	~/data/HC31_d21_TbetLow_TetNeg_MBC/	HC31_d21_TbetLow_TetNeg_MBC-trimmed-pair1.fastq.gz	HC31_d21_TbetLow_TetNeg_MBC-trimmed-pair2.fastq.gz	HC31_d21_TbetLow_TetNeg_MBC.sort.dupMark.bam	4411078	35095568	29077746	29077746	3.236532098	1000	200000	3
10	HC31_d21_TbetLow_TetPos_MBC	21	31	TbetLow_TetPos	TbetLow_TetPos_MBC	TRUE	~/data/HC31_d21_TbetLow_TetPos_MBC/	HC31_d21_TbetLow_TetPos_MBC-trimmed-pair1.fastq.gz	HC31_d21_TbetLow_TetPos_MBC-trimmed-pair2.fastq.gz	HC31_d21_TbetLow_TetPos_MBC.sort.dupMark.bam	6276338	26694660	23459460	23459460	2.990836104	1000	200000	3
11	HC31_d21_TbetPos_TetNeg_MBC	21	31	TbetPos_TetNeg	TbetPos_TetNeg_MBC	TRUE	~/data/HC31_d21_TbetPos_TetNeg_MBC/	HC31_d21_TbetPos_TetNeg_MBC-trimmed-pair1.fastq.gz	HC31_d21_TbetPos_TetNeg_MBC-trimmed-pair2.fastq.gz	HC31_d21_TbetPos_TetNeg_MBC.sort.dupMark.bam	6250269	27449167	24328521	24328521	3.145934542	1000	200000	3
